frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
180,0.7498,19.118,23.467,24.296,11.589,10.379,13.089,Fairway,airborne,-0.002,0
181,0.7540,19.017,23.515,24.256,11.528,10.376,13.139,Fairway,airborne,-0.002,0
182,0.7581,18.917,23.563,24.217,11.468,10.374,13.189,Fairway,airborne,-0.002,0
183,0.7623,18.816,23.611,24.178,11.408,10.372,13.239,Fairway,airborne,-0.002,0
184,0.7665,18.716,23.658,24.139,11.348,10.370,13.289,Fairway,airborne,-0.002,0
185,0.7706,18.616,23.705,24.099,11.288,10.367,13.338,Fairway,airborne,-0.002,0
186,0.7748,18.516,23.752,24.060,11.228,10.365,13.387,Fairway,airborne,-0.002,0
187,0.7790,18.417,23.799,24.021,11.169,10.363,13.436,Fairway,airborne,-0.002,0
188,0.7831,18.317,23.845,23.982,11.109,10.361,13.485,Fairway,airborne,-0.002,0
189,0.7873,18.218,23.892,23.944,11.050,10.358,13.533,Fairway,airborne,-0.002,0
190,0.7915,18.119,23.937,23.905,10.991,10.356,13.581,Fairway,airborne,-0.002,0
191,0.7956,18.020,23.983,23.866,10.933,10.354,13.629,Fairway,airborne,-0.002,0
192,0.7998,17.921,24.028,23.827,10.874,10.352,13.677,Fairway,airborne,-0.002,0
193,0.8040,17.822,24.074,23.789,10.816,10.350,13.724,Fairway,airborne,-0.002,0
194,0.8081,17.724,24.119,23.750,10.757,10.348,13.771,Fairway,airborne,-0.002,0
195,0.8123,17.625,24.163,23.712,10.699,10.346,13.818,Fairway,airborne,-0.002,0
196,0.8165,17.527,24.208,23.673,10.641,10.344,13.864,Fairway,airborne,-0.002,0
197,0.8206,17.429,24.252,23.635,10.584,10.341,13.910,Fairway,airborne,-0.002,0
198,0.8248,17.331,24.296,23.597,10.526,10.339,13.957,Fairway,airborne,-0.002,0
199,0.8290,17.233,24.340,23.559,10.469,10.337,14.002,Fairway,airborne,-0.002,0
200,0.8331,17.136,24.383,23.520,10.411,10.335,14.048,Fairway,airborne,-0.002,0
201,0.8373,17.038,24.426,23.482,10.354,10.333,14.093,Fairway,airborne,-0.002,0
202,0.8415,16.941,24.469,23.444,10.297,10.331,14.138,Fairway,airborne,-0.002,0
203,0.8456,16.844,24.512,23.406,10.241,10.329,14.183,Fairway,airborne,-0.002,0
204,0.8498,16.747,24.555,23.368,10.184,10.327,14.228,Fairway,airborne,-0.002,0
205,0.8540,16.650,24.597,23.330,10.127,10.325,14.272,Fairway,airborne,-0.002,0
206,0.8581,16.554,24.639,23.293,10.071,10.323,14.316,Fairway,airborne,-0.002,0
207,0.8623,16.457,24.681,23.255,10.015,10.321,14.360,Fairway,airborne,-0.002,0
208,0.8665,16.361,24.722,23.217,9.959,10.319,14.404,Fairway,airborne,-0.002,0
209,0.8706,16.264,24.764,23.180,9.903,10.317,14.447,Fairway,airborne,-0.002,0
210,0.8748,16.168,24.805,23.142,9.847,10.315,14.490,Fairway,airborne,-0.002,0
211,0.8790,16.072,24.846,23.104,9.792,10.313,14.533,Fairway,airborne,-0.002,0
212,0.8831,15.977,24.886,23.067,9.736,10.311,14.576,Fairway,airborne,-0.002,0
213,0.8873,15.881,24.927,23.030,9.681,10.308,14.618,Fairway,airborne,-0.002,0
214,0.8914,15.785,24.967,22.992,9.626,10.306,14.661,Fairway,airborne,-0.002,0
215,0.8956,15.690,25.007,22.955,9.571,10.304,14.703,Fairway,airborne,-0.002,0
216,0.8998,15.595,25.047,22.918,9.516,10.302,14.745,Fairway,airborne,-0.002,0
217,0.9039,15.500,25.086,22.880,9.461,10.300,14.786,Fairway,airborne,-0.002,0
218,0.9081,15.405,25.126,22.843,9.407,10.298,14.827,Fairway,airborne,-0.002,0
219,0.9123,15.310,25.165,22.806,9.352,10.296,14.868,Fairway,airborne,-0.002,0
220,0.9164,15.215,25.204,22.769,9.298,10.294,14.909,Fairway,airborne,-0.002,0
221,0.9206,15.121,25.242,22.732,9.244,10.292,14.950,Fairway,airborne,-0.002,0
222,0.9248,15.026,25.281,22.695,9.190,10.291,14.990,Fairway,airborne,-0.002,0
223,0.9289,14.932,25.319,22.658,9.136,10.289,15.030,Fairway,airborne,-0.002,0
224,0.9331,14.838,25.357,22.621,9.082,10.287,15.070,Fairway,airborne,-0.002,0
225,0.9373,14.744,25.394,22.585,9.028,10.285,15.110,Fairway,airborne,-0.002,0
226,0.9414,14.650,25.432,22.548,8.975,10.283,15.149,Fairway,airborne,-0.002,0
227,0.9456,14.556,25.469,22.511,8.921,10.281,15.188,Fairway,airborne,-0.002,0
228,0.9498,14.463,25.506,22.475,8.868,10.279,15.227,Fairway,airborne,-0.002,0
229,0.9539,14.369,25.543,22.438,8.815,10.277,15.266,Fairway,airborne,-0.002,0
230,0.9581,14.276,25.580,22.402,8.762,10.275,15.305,Fairway,airborne,-0.002,0
231,0.9623,14.183,25.616,22.365,8.709,10.273,15.343,Fairway,airborne,-0.002,0
232,0.9664,14.090,25.652,22.329,8.656,10.271,15.381,Fairway,airborne,-0.002,0
233,0.9706,13.997,25.688,22.292,8.603,10.269,15.419,Fairway,airborne,-0.002,0
234,0.9748,13.904,25.724,22.256,8.550,10.267,15.457,Fairway,airborne,-0.002,0
235,0.9789,13.811,25.759,22.220,8.498,10.265,15.494,Fairway,airborne,-0.002,0
236,0.9831,13.718,25.795,22.184,8.446,10.263,15.531,Fairway,airborne,-0.002,0
237,0.9873,13.626,25.830,22.147,8.393,10.261,15.568,Fairway,airborne,-0.002,0
238,0.9914,13.534,25.864,22.111,8.341,10.260,15.605,Fairway,airborne,-0.002,0
