frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
109,0.4541,28.554,19.632,27.987,15.721,10.597,9.035,Fairway,airborne,-0.002,0
110,0.4582,28.462,19.698,27.951,15.653,10.595,9.103,Fairway,airborne,-0.002,0
111,0.4624,28.371,19.763,27.915,15.586,10.593,9.170,Fairway,airborne,-0.002,0
112,0.4666,28.279,19.828,27.879,15.519,10.590,9.237,Fairway,airborne,-0.002,0
113,0.4707,28.188,19.892,27.844,15.452,10.588,9.304,Fairway,airborne,-0.002,0
114,0.4749,28.097,19.956,27.808,15.386,10.586,9.370,Fairway,airborne,-0.002,0
115,0.4790,28.006,20.020,27.772,15.319,10.584,9.436,Fairway,airborne,-0.002,0
116,0.4832,27.915,20.084,27.737,15.253,10.582,9.502,Fairway,airborne,-0.002,0
117,0.4874,27.825,20.147,27.701,15.187,10.580,9.567,Fairway,airborne,-0.002,0
118,0.4915,27.734,20.210,27.666,15.122,10.578,9.632,Fairway,airborne,-0.002,0
119,0.4957,27.644,20.273,27.631,15.056,10.576,9.697,Fairway,airborne,-0.002,0
120,0.4999,27.554,20.336,27.596,14.991,10.574,9.762,Fairway,airborne,-0.002,0
121,0.5040,27.464,20.398,27.560,14.926,10.572,9.826,Fairway,airborne,-0.002,0
122,0.5082,27.374,20.460,27.525,14.861,10.570,9.890,Fairway,airborne,-0.002,0
123,0.5124,27.285,20.522,27.490,14.797,10.568,9.954,Fairway,airborne,-0.002,0
124,0.5165,27.195,20.583,27.455,14.732,10.566,10.017,Fairway,airborne,-0.002,0
125,0.5207,27.106,20.645,27.420,14.668,10.564,10.081,Fairway,airborne,-0.002,0
126,0.5249,27.016,20.706,27.385,14.604,10.562,10.144,Fairway,airborne,-0.002,0
127,0.5290,26.927,20.766,27.350,14.540,10.560,10.207,Fairway,airborne,-0.002,0
128,0.5332,26.838,20.827,27.316,14.477,10.558,10.269,Fairway,airborne,-0.002,0
129,0.5374,26.749,20.887,27.281,14.414,10.555,10.331,Fairway,airborne,-0.002,0
130,0.5415,26.661,20.947,27.246,14.351,10.553,10.394,Fairway,airborne,-0.002,0
131,0.5457,26.572,21.006,27.211,14.288,10.551,10.455,Fairway,airborne,-0.002,0
132,0.5499,26.484,21.066,27.177,14.225,10.549,10.517,Fairway,airborne,-0.002,0
133,0.5540,26.395,21.125,27.142,14.163,10.546,10.578,Fairway,airborne,-0.002,0
134,0.5582,26.307,21.184,27.108,14.100,10.544,10.640,Fairway,airborne,-0.002,0
135,0.5624,26.219,21.242,27.073,14.038,10.542,10.700,Fairway,airborne,-0.002,0
136,0.5665,26.131,21.301,27.039,13.976,10.540,10.761,Fairway,airborne,-0.002,0
137,0.5707,26.043,21.359,27.005,13.914,10.538,10.821,Fairway,airborne,-0.002,0
138,0.5749,25.956,21.417,26.970,13.853,10.535,10.881,Fairway,airborne,-0.002,0
139,0.5790,25.868,21.474,26.936,13.792,10.533,10.941,Fairway,airborne,-0.002,0
140,0.5832,25.781,21.532,26.902,13.730,10.531,11.000,Fairway,airborne,-0.002,0
141,0.5874,25.694,21.589,26.868,13.669,10.529,11.059,Fairway,airborne,-0.002,0
142,0.5915,25.606,21.645,26.834,13.609,10.527,11.118,Fairway,airborne,-0.002,0
143,0.5957,25.519,21.702,26.800,13.548,10.526,11.176,Fairway,airborne,-0.002,0
144,0.5999,25.433,21.758,26.766,13.488,10.524,11.235,Fairway,airborne,-0.002,0
145,0.6040,25.346,21.814,26.732,13.427,10.522,11.293,Fairway,airborne,-0.002,0
146,0.6082,25.259,21.870,26.698,13.367,10.520,11.350,Fairway,airborne,-0.002,0
147,0.6124,25.173,21.926,26.664,13.307,10.518,11.408,Fairway,airborne,-0.002,0
148,0.6165,25.086,21.981,26.630,13.247,10.516,11.465,Fairway,airborne,-0.002,0
149,0.6207,25.000,22.036,26.597,13.188,10.514,11.522,Fairway,airborne,-0.002,0
150,0.6248,24.914,22.091,26.563,13.128,10.512,11.579,Fairway,airborne,-0.002,0
151,0.6290,24.828,22.145,26.529,13.069,10.510,11.636,Fairway,airborne,-0.002,0
152,0.6332,24.742,22.200,26.496,13.010,10.508,11.692,Fairway,airborne,-0.002,0
153,0.6373,24.656,22.254,26.462,12.951,10.506,11.748,Fairway,airborne,-0.002,0
154,0.6415,24.571,22.308,26.429,12.892,10.504,11.804,Fairway,airborne,-0.002,0
155,0.6457,24.485,22.361,26.395,12.834,10.502,11.859,Fairway,airborne,-0.002,0
156,0.6498,24.400,22.414,26.362,12.775,10.500,11.915,Fairway,airborne,-0.002,0
157,0.6540,24.314,22.468,26.328,12.717,10.498,11.970,Fairway,airborne,-0.002,0
158,0.6582,24.229,22.520,26.295,12.659,10.496,12.025,Fairway,airborne,-0.002,0
159,0.6623,24.144,22.573,26.262,12.601,10.494,12.079,Fairway,airborne,-0.002,0
160,0.6665,24.059,22.625,26.228,12.543,10.492,12.134,Fairway,airborne,-0.002,0
161,0.6707,23.974,22.678,26.195,12.485,10.490,12.188,Fairway,airborne,-0.002,0
162,0.6748,23.890,22.729,26.162,12.428,10.488,12.242,Fairway,airborne,-0.002,0
163,0.6790,23.805,22.781,26.129,12.371,10.486,12.295,Fairway,airborne,-0.002,0
164,0.6832,23.721,22.832,26.096,12.313,10.484,12.349,Fairway,airborne,-0.002,0
165,0.6873,23.636,22.884,26.063,12.256,10.482,12.402,Fairway,airborne,-0.002,0
166,0.6915,23.552,22.935,26.030,12.199,10.480,12.455,Fairway,airborne,-0.002,0
167,0.6957,23.468,22.985,25.997,12.142,10.478,12.508,Fairway,airborne,-0.002,0
168,0.6998,23.384,23.036,25.964,12.086,10.476,12.560,Fairway,airborne,-0.002,0
169,0.7040,23.300,23.086,25.931,12.029,10.474,12.612,Fairway,airborne,-0.002,0
170,0.7082,23.216,23.136,25.899,11.973,10.472,12.664,Fairway,airborne,-0.002,0
171,0.7123,23.132,23.186,25.866,11.917,10.470,12.716,Fairway,airborne,-0.002,0
172,0.7165,23.049,23.235,25.833,11.861,10.468,12.767,Fairway,airborne,-0.002,0
173,0.7207,22.965,23.284,25.800,11.805,10.466,12.818,Fairway,airborne,-0.002,0
174,0.7248,22.882,23.333,25.768,11.749,10.464,12.869,Fairway,airborne,-0.002,0
175,0.7290,22.798,23.382,25.735,11.693,10.462,12.920,Fairway,airborne,-0.002,0
176,0.7332,22.715,23.431,25.703,11.637,10.460,12.971,Fairway,airborne,-0.002,0
177,0.7373,22.632,23.479,25.670,11.582,10.458,13.021,Fairway,airborne,-0.002,0
178,0.7415,22.549,23.527,25.638,11.527,10.456,13.071,Fairway,airborne,-0.002,0
179,0.7457,22.466,23.575,25.605,11.471,10.454,13.121,Fairway,airborne,-0.002,0
180,0.7498,22.383,23.623,25.573,11.416,10.452,13.171,Fairway,airborne,-0.002,0
181,0.7540,22.301,23.670,25.541,11.361,10.450,13.220,Fairway,airborne,-0.002,0
182,0.7581,22.218,23.718,25.508,11.307,10.448,13.269,Fairway,airborne,-0.002,0
183,0.7623,22.136,23.765,25.476,11.252,10.446,13.318,Fairway,airborne,-0.002,0
184,0.7665,22.053,23.811,25.444,11.197,10.445,13.367,Fairway,airborne,-0.002,0
185,0.7706,21.971,23.858,25.412,11.143,10.443,13.415,Fairway,airborne,-0.002,0
186,0.7748,21.889,23.904,25.380,11.089,10.441,13.463,Fairway,airborne,-0.002,0
187,0.7790,21.807,23.950,25.347,11.034,10.439,13.511,Fairway,airborne,-0.002,0
188,0.7831,21.725,23.996,25.315,10.980,10.437,13.559,Fairway,airborne,-0.002,0
189,0.7873,21.643,24.042,25.283,10.926,10.436,13.606,Fairway,airborne,-0.002,0
190,0.7915,21.561,24.087,25.251,10.873,10.434,13.654,Fairway,airborne,-0.002,0
191,0.7956,21.479,24.132,25.219,10.819,10.432,13.701,Fairway,airborne,-0.002,0
192,0.7998,21.398,24.177,25.187,10.765,10.430,13.748,Fairway,airborne,-0.002,0
193,0.8040,21.316,24.222,25.156,10.712,10.428,13.794,Fairway,airborne,-0.002,0
194,0.8081,21.235,24.266,25.124,10.658,10.426,13.841,Fairway,airborne,-0.002,0
195,0.8123,21.154,24.311,25.092,10.605,10.424,13.887,Fairway,airborne,-0.002,0
196,0.8165,21.073,24.355,25.060,10.552,10.422,13.933,Fairway,airborne,-0.002,0
197,0.8206,20.991,24.399,25.028,10.499,10.420,13.979,Fairway,airborne,-0.002,0
198,0.8248,20.910,24.442,24.997,10.446,10.418,14.024,Fairway,airborne,-0.002,0
199,0.8290,20.830,24.486,24.965,10.393,10.416,14.070,Fairway,airborne,-0.002,0
200,0.8331,20.749,24.529,24.934,10.340,10.414,14.115,Fairway,airborne,-0.002,0
201,0.8373,20.668,24.572,24.902,10.287,10.412,14.159,Fairway,airborne,-0.002,0
202,0.8415,20.587,24.614,24.870,10.235,10.411,14.204,Fairway,airborne,-0.002,0
203,0.8456,20.507,24.657,24.839,10.183,10.409,14.248,Fairway,airborne,-0.002,0
204,0.8498,20.426,24.699,24.807,10.130,10.407,14.292,Fairway,airborne,-0.002,0
205,0.8540,20.346,24.741,24.776,10.078,10.405,14.336,Fairway,airborne,-0.002,0
206,0.8581,20.266,24.783,24.745,10.026,10.404,14.379,Fairway,airborne,-0.002,0
207,0.8623,20.185,24.825,24.713,9.974,10.402,14.423,Fairway,airborne,-0.002,0
208,0.8665,20.105,24.866,24.682,9.922,10.400,14.466,Fairway,airborne,-0.002,0
209,0.8706,20.025,24.908,24.651,9.870,10.399,14.509,Fairway,airborne,-0.002,0
210,0.8748,19.945,24.949,24.619,9.818,10.397,14.552,Fairway,airborne,-0.002,0
211,0.8790,19.866,24.989,24.588,9.767,10.395,14.594,Fairway,airborne,-0.002,0
212,0.8831,19.786,25.030,24.557,9.715,10.393,14.636,Fairway,airborne,-0.002,0
213,0.8873,19.706,25.070,24.526,9.664,10.392,14.679,Fairway,airborne,-0.002,0
214,0.8914,19.627,25.110,24.495,9.612,10.390,14.720,Fairway,airborne,-0.002,0
215,0.8956,19.547,25.150,24.464,9.561,10.388,14.762,Fairway,airborne,-0.002,0
216,0.8998,19.468,25.190,24.432,9.510,10.386,14.804,Fairway,airborne,-0.002,0
217,0.9039,19.388,25.230,24.401,9.459,10.385,14.845,Fairway,airborne,-0.002,0
218,0.9081,19.309,25.269,24.370,9.408,10.383,14.886,Fairway,airborne,-0.002,0
219,0.9123,19.230,25.308,24.339,9.357,10.381,14.927,Fairway,airborne,-0.002,0
220,0.9164,19.151,25.347,24.309,9.306,10.379,14.967,Fairway,airborne,-0.002,0
221,0.9206,19.072,25.385,24.278,9.256,10.378,15.008,Fairway,airborne,-0.002,0
222,0.9248,18.993,25.424,24.247,9.205,10.376,15.048,Fairway,airborne,-0.002,0
223,0.9289,18.914,25.462,24.216,9.155,10.374,15.088,Fairway,airborne,-0.002,0
224,0.9331,18.836,25.500,24.185,9.104,10.372,15.128,Fairway,airborne,-0.002,0
225,0.9373,18.757,25.538,24.154,9.054,10.371,15.167,Fairway,airborne,-0.002,0
226,0.9414,18.678,25.576,24.124,9.004,10.369,15.207,Fairway,airborne,-0.002,0
227,0.9456,18.600,25.613,24.093,8.953,10.367,15.246,Fairway,airborne,-0.002,0
228,0.9498,18.522,25.650,24.062,8.903,10.365,15.285,Fairway,airborne,-0.002,0
229,0.9539,18.443,25.687,24.032,8.853,10.363,15.324,Fairway,airborne,-0.002,0
230,0.9581,18.365,25.724,24.001,8.803,10.362,15.362,Fairway,airborne,-0.002,0
231,0.9623,18.287,25.760,23.971,8.754,10.360,15.401,Fairway,airborne,-0.002,0
232,0.9664,18.209,25.797,23.940,8.704,10.358,15.439,Fairway,airborne,-0.002,0
233,0.9706,18.131,25.833,23.909,8.654,10.356,15.477,Fairway,airborne,-0.002,0
234,0.9748,18.053,25.869,23.879,8.605,10.355,15.514,Fairway,airborne,-0.002,0
235,0.9789,17.975,25.905,23.849,8.555,10.353,15.552,Fairway,airborne,-0.002,0
236,0.9831,17.897,25.940,23.818,8.506,10.351,15.589,Fairway,airborne,-0.002,0
237,0.9873,17.820,25.975,23.788,8.456,10.350,15.626,Fairway,airborne,-0.002,0
238,0.9914,17.742,26.011,23.757,8.407,10.348,15.662,Fairway,airborne,-0.002,0
239,0.9956,17.664,26.045,23.727,8.358,10.346,15.699,Fairway,airborne,-0.002,0
240,0.9998,17.587,26.080,23.697,8.309,10.345,15.735,Fairway,airborne,-0.002,0
241,1.0039,17.510,26.115,23.666,8.260,10.343,15.771,Fairway,airborne,-0.002,0
242,1.0081,17.432,26.149,23.636,8.211,10.342,15.807,Fairway,airborne,-0.002,0
243,1.0123,17.355,26.183,23.606,8.162,10.340,15.843,Fairway,airborne,-0.002,0
244,1.0164,17.278,26.217,23.576,8.113,10.338,15.879,Fairway,airborne,-0.002,0
245,1.0206,17.201,26.251,23.546,8.064,10.337,15.914,Fairway,airborne,-0.002,0
246,1.0248,17.124,26.284,23.516,8.016,10.335,15.949,Fairway,airborne,-0.002,0
247,1.0289,17.047,26.317,23.485,7.967,10.333,15.984,Fairway,airborne,-0.002,0
248,1.0331,16.970,26.350,23.455,7.918,10.332,16.019,Fairway,airborne,-0.002,0
249,1.0372,16.893,26.383,23.425,7.870,10.330,16.053,Fairway,airborne,-0.002,0
250,1.0414,16.817,26.416,23.395,7.822,10.328,16.088,Fairway,airborne,-0.002,0
251,1.0456,16.740,26.448,23.365,7.773,10.327,16.122,Fairway,airborne,-0.002,0
252,1.0497,16.663,26.481,23.335,7.725,10.325,16.156,Fairway,airborne,-0.002,0
253,1.0539,16.587,26.513,23.306,7.677,10.324,16.189,Fairway,airborne,-0.002,0
254,1.0581,16.511,26.545,23.276,7.629,10.322,16.223,Fairway,airborne,-0.002,0
255,1.0622,16.434,26.576,23.246,7.581,10.320,16.256,Fairway,airborne,-0.002,0
256,1.0664,16.358,26.608,23.216,7.533,10.319,16.289,Fairway,airborne,-0.002,0
257,1.0706,16.282,26.639,23.186,7.485,10.317,16.322,Fairway,airborne,-0.002,0
258,1.0747,16.206,26.670,23.156,7.437,10.315,16.355,Fairway,airborne,-0.002,0
259,1.0789,16.130,26.701,23.127,7.389,10.314,16.387,Fairway,airborne,-0.002,0
260,1.0831,16.054,26.732,23.097,7.342,10.312,16.420,Fairway,airborne,-0.002,0
261,1.0872,15.978,26.762,23.067,7.294,10.311,16.452,Fairway,airborne,-0.002,0
262,1.0914,15.902,26.792,23.038,7.247,10.309,16.484,Fairway,airborne,-0.002,0
263,1.0956,15.826,26.823,23.008,7.199,10.307,16.515,Fairway,airborne,-0.002,0
264,1.0997,15.750,26.852,22.978,7.152,10.306,16.547,Fairway,airborne,-0.002,0
265,1.1039,15.675,26.882,22.949,7.104,10.304,16.578,Fairway,airborne,-0.002,0
266,1.1081,15.599,26.912,22.919,7.057,10.302,16.609,Fairway,airborne,-0.002,0
267,1.1122,15.524,26.941,22.890,7.010,10.301,16.640,Fairway,airborne,-0.002,0
268,1.1164,15.448,26.970,22.860,6.963,10.299,16.671,Fairway,airborne,-0.002,0
269,1.1206,15.373,26.999,22.831,6.916,10.298,16.701,Fairway,airborne,-0.002,0
270,1.1247,15.298,27.028,22.801,6.869,10.296,16.732,Fairway,airborne,-0.002,0
271,1.1289,15.222,27.056,22.772,6.822,10.294,16.762,Fairway,airborne,-0.002,0
272,1.1331,15.147,27.084,22.742,6.775,10.293,16.791,Fairway,airborne,-0.001,0
273,1.1372,15.072,27.113,22.713,6.728,10.292,16.821,Fairway,airborne,-0.001,0
274,1.1414,14.997,27.140,22.684,6.681,10.290,16.850,Fairway,airborne,-0.002,0
275,1.1456,14.922,27.168,22.654,6.634,10.288,16.880,Fairway,airborne,-0.002,0
276,1.1497,14.847,27.196,22.625,6.588,10.287,16.909,Fairway,airborne,-0.002,0
277,1.1539,14.772,27.223,22.596,6.541,10.285,16.938,Fairway,airborne,-0.002,0
278,1.1581,14.698,27.250,22.567,6.494,10.284,16.966,Fairway,airborne,-0.002,0
279,1.1622,14.623,27.277,22.537,6.448,10.282,16.995,Fairway,airborne,-0.002,0
280,1.1664,14.548,27.304,22.508,6.401,10.281,17.023,Fairway,airborne,-0.002,0
281,1.1705,14.474,27.330,22.479,6.355,10.279,17.051,Fairway,airborne,-0.002,0
282,1.1747,14.399,27.357,22.450,6.309,10.278,17.079,Fairway,airborne,-0.002,0
283,1.1789,14.325,27.383,22.421,6.262,10.276,17.107,Fairway,airborne,-0.002,0
284,1.1830,14.251,27.409,22.392,6.216,10.274,17.135,Fairway,airborne,-0.002,0
285,1.1872,14.176,27.435,22.362,6.170,10.273,17.162,Fairway,airborne,-0.002,0
286,1.1914,14.102,27.460,22.333,6.124,10.271,17.189,Fairway,airborne,-0.002,0
287,1.1955,14.028,27.486,22.304,6.078,10.270,17.216,Fairway,airborne,-0.002,0
288,1.1997,13.954,27.511,22.275,6.032,10.268,17.243,Fairway,airborne,-0.002,0
289,1.2039,13.880,27.536,22.246,5.986,10.267,17.269,Fairway,airborne,-0.002,0
290,1.2080,13.806,27.561,22.218,5.940,10.265,17.296,Fairway,airborne,-0.002,0
291,1.2122,13.732,27.585,22.189,5.894,10.263,17.322,Fairway,airborne,-0.002,0
292,1.2164,13.658,27.610,22.160,5.848,10.262,17.348,Fairway,airborne,-0.001,0
293,1.2205,13.584,27.634,22.131,5.803,10.261,17.374,Fairway,airborne,-0.001,0
294,1.2247,13.510,27.658,22.102,5.757,10.259,17.399,Fairway,airborne,-0.001,0
