frame,phase,surface,ballX,ballY,ballZ,groundY2arg,groundY3arg
168,putt,Green,-238.6250,10.3794,-72.0000,10.3581,10.3581
169,putt,Green,-238.6056,10.3789,-72.0000,10.3576,10.3576
170,putt,Green,-238.5862,10.3784,-72.0000,10.3571,10.3571
171,putt,Green,-238.5669,10.3779,-72.0000,10.3566,10.3566
172,putt,Green,-238.5475,10.3775,-72.0000,10.3561,10.3561
173,putt,Green,-238.5282,10.3770,-72.0000,10.3556,10.3556
174,putt,Green,-238.5088,10.3765,-72.0000,10.3551,10.3551
175,putt,Green,-238.4895,10.3760,-72.0000,10.3546,10.3546
176,putt,Green,-238.4701,10.3755,-72.0000,10.3542,10.3542
177,putt,Green,-238.4508,10.3750,-72.0000,10.3537,10.3537
178,putt,Green,-238.4315,10.3745,-72.0000,10.3532,10.3532
179,putt,Green,-238.4122,10.3741,-72.0000,10.3527,10.3527
180,putt,Green,-238.3929,10.3736,-72.0000,10.3522,10.3522
181,putt,Green,-238.3736,10.3731,-72.0000,10.3518,10.3518
182,putt,Green,-238.3543,10.3726,-72.0000,10.3513,10.3513
183,putt,Green,-238.3351,10.3721,-72.0000,10.3508,10.3508
184,putt,Green,-238.3158,10.3716,-72.0000,10.3503,10.3503
185,putt,Green,-238.2965,10.3712,-72.0000,10.3498,10.3498
186,putt,Green,-238.2773,10.3707,-72.0000,10.3493,10.3493
187,putt,Green,-238.2580,10.3702,-72.0000,10.3488,10.3488
188,putt,Green,-238.2388,10.3697,-72.0000,10.3484,10.3484
189,putt,Green,-238.2196,10.3692,-72.0000,10.3479,10.3479
190,putt,Green,-238.2003,10.3687,-72.0000,10.3474,10.3474
191,putt,Green,-238.1811,10.3682,-72.0000,10.3469,10.3469
192,putt,Green,-238.1619,10.3678,-72.0000,10.3464,10.3464
193,putt,Green,-238.1427,10.3673,-72.0000,10.3459,10.3459
194,putt,Green,-238.1236,10.3668,-72.0000,10.3454,10.3454
195,putt,Green,-238.1044,10.3663,-72.0000,10.3449,10.3449
196,putt,Green,-238.0852,10.3658,-72.0000,10.3445,10.3445
197,putt,Green,-238.0661,10.3653,-72.0000,10.3440,10.3440
198,putt,Green,-238.0469,10.3648,-72.0000,10.3435,10.3435
199,putt,Green,-238.0278,10.3643,-72.0000,10.3430,10.3430
200,putt,Green,-238.0086,10.3639,-72.0000,10.3425,10.3425
201,putt,Green,-237.9895,10.3634,-72.0000,10.3420,10.3420
202,putt,Green,-237.9704,10.3629,-72.0000,10.3415,10.3415
203,putt,Green,-237.9512,10.3624,-72.0000,10.3410,10.3410
204,putt,Green,-237.9321,10.3619,-72.0000,10.3406,10.3406
205,putt,Green,-237.9130,10.3614,-72.0000,10.3401,10.3401
206,putt,Green,-237.8940,10.3609,-72.0000,10.3396,10.3396
207,putt,Green,-237.8749,10.3604,-72.0000,10.3391,10.3391
208,putt,Green,-237.8558,10.3600,-72.0000,10.3386,10.3386
209,putt,Green,-237.8367,10.3595,-72.0000,10.3381,10.3381
210,putt,Green,-237.8177,10.3590,-72.0000,10.3377,10.3377
211,putt,Green,-237.7986,10.3585,-72.0000,10.3372,10.3372
212,putt,Green,-237.7796,10.3581,-72.0000,10.3367,10.3367
213,putt,Green,-237.7606,10.3576,-72.0000,10.3362,10.3362
214,putt,Green,-237.7415,10.3571,-72.0000,10.3358,10.3358
215,putt,Green,-237.7225,10.3567,-72.0000,10.3353,10.3353
216,putt,Green,-237.7035,10.3562,-72.0000,10.3348,10.3348
217,putt,Green,-237.6845,10.3557,-72.0000,10.3344,10.3344
218,putt,Green,-237.6655,10.3552,-72.0000,10.3339,10.3339
219,putt,Green,-237.6465,10.3548,-72.0000,10.3334,10.3334
220,putt,Green,-237.6275,10.3543,-72.0000,10.3330,10.3330
221,putt,Green,-237.6086,10.3538,-72.0000,10.3325,10.3325
222,putt,Green,-237.5896,10.3534,-72.0000,10.3320,10.3320
