frame,worldX,worldZ,preferred,foundPreferred,nHits,hits
56,-240.8282,-72.0000,Green,1,2;Fairway_3|Fairway|10.3304;Green_1|Green|10.4156
57,-240.8282,-72.0000,Green,1,2;Fairway_3|Fairway|10.3304;Green_1|Green|10.4156
57,-240.8079,-72.0000,Green,1,2;Fairway_3|Fairway|10.3299;Green_1|Green|10.4150
58,-240.8079,-72.0000,Green,1,2;Fairway_3|Fairway|10.3299;Green_1|Green|10.4150
58,-240.7876,-72.0000,Green,1,2;Fairway_3|Fairway|10.3293;Green_1|Green|10.4144
59,-240.7876,-72.0000,Green,1,2;Fairway_3|Fairway|10.3293;Green_1|Green|10.4144
59,-240.7673,-72.0000,Green,1,2;Fairway_3|Fairway|10.3288;Green_1|Green|10.4139
60,-240.7673,-72.0000,Green,1,2;Fairway_3|Fairway|10.3288;Green_1|Green|10.4139
60,-240.7470,-72.0000,Green,1,2;Fairway_3|Fairway|10.3282;Green_1|Green|10.4133
61,-240.7470,-72.0000,Green,1,2;Fairway_3|Fairway|10.3282;Green_1|Green|10.4133
61,-240.7268,-72.0000,Green,1,2;Fairway_3|Fairway|10.3277;Green_1|Green|10.4128
62,-240.7268,-72.0000,Green,1,2;Fairway_3|Fairway|10.3277;Green_1|Green|10.4128
62,-240.7065,-72.0000,Green,1,2;Fairway_3|Fairway|10.3271;Green_1|Green|10.4122
63,-240.7065,-72.0000,Green,1,2;Fairway_3|Fairway|10.3271;Green_1|Green|10.4122
63,-240.6862,-72.0000,Green,1,2;Fairway_3|Fairway|10.3266;Green_1|Green|10.4117
64,-240.6862,-72.0000,Green,1,2;Fairway_3|Fairway|10.3266;Green_1|Green|10.4117
64,-240.6660,-72.0000,Green,1,2;Fairway_3|Fairway|10.3260;Green_1|Green|10.4111
65,-240.6660,-72.0000,Green,1,2;Fairway_3|Fairway|10.3260;Green_1|Green|10.4111
65,-240.6457,-72.0000,Green,1,2;Fairway_3|Fairway|10.3255;Green_1|Green|10.4106
66,-240.6457,-72.0000,Green,1,2;Fairway_3|Fairway|10.3255;Green_1|Green|10.4106
66,-240.6255,-72.0000,Green,1,2;Fairway_3|Fairway|10.3249;Green_1|Green|10.4100
67,-240.6255,-72.0000,Green,1,2;Fairway_3|Fairway|10.3249;Green_1|Green|10.4100
67,-240.6053,-72.0000,Green,1,2;Fairway_3|Fairway|10.3243;Green_1|Green|10.4095
68,-240.6053,-72.0000,Green,1,2;Fairway_3|Fairway|10.3243;Green_1|Green|10.4095
68,-240.5851,-72.0000,Green,1,2;Fairway_3|Fairway|10.3238;Green_1|Green|10.4089
69,-240.5851,-72.0000,Green,1,2;Fairway_3|Fairway|10.3238;Green_1|Green|10.4089
69,-240.5649,-72.0000,Green,1,2;Fairway_3|Fairway|10.3232;Green_1|Green|10.4084
70,-240.5649,-72.0000,Green,1,2;Fairway_3|Fairway|10.3232;Green_1|Green|10.4084
70,-240.5447,-72.0000,Green,1,2;Fairway_3|Fairway|10.3227;Green_1|Green|10.4078
71,-240.5447,-72.0000,Green,1,2;Fairway_3|Fairway|10.3227;Green_1|Green|10.4078
