frame,time,x,y,z,vy,groundY,signedDist,zoneType,phase,dGroundY,zoneFlip
97,0.4041,15.255,15.593,22.785,8.876,10.295,5.298,Fairway,airborne,-0.005,0
98,0.4082,15.026,15.630,22.695,8.818,10.291,5.339,Fairway,airborne,-0.005,0
99,0.4124,14.799,15.666,22.606,8.760,10.286,5.381,Fairway,airborne,-0.005,0
100,0.4166,14.571,15.703,22.517,8.701,10.281,5.422,Fairway,airborne,-0.005,0
101,0.4207,14.344,15.739,22.428,8.644,10.276,5.463,Fairway,airborne,-0.005,0
102,0.4249,14.118,15.775,22.340,8.586,10.272,5.503,Fairway,airborne,-0.005,0
103,0.4291,13.891,15.810,22.251,8.528,10.267,5.544,Fairway,airborne,-0.005,0
104,0.4332,13.666,15.846,22.163,8.471,10.262,5.584,Fairway,airborne,-0.005,0
105,0.4374,13.440,15.881,22.075,8.414,10.258,5.623,Fairway,airborne,-0.004,0
106,0.4416,13.216,15.916,21.987,8.357,10.253,5.663,Fairway,airborne,-0.004,0
107,0.4457,12.991,15.951,21.899,8.300,10.249,5.702,Fairway,airborne,-0.004,0
108,0.4499,12.767,15.985,21.812,8.243,10.244,5.741,Fairway,airborne,-0.004,0
109,0.4541,12.544,16.019,21.724,8.187,10.240,5.779,Fairway,airborne,-0.004,0
110,0.4582,12.321,16.053,21.637,8.130,10.236,5.818,Fairway,airborne,-0.004,0
111,0.4624,12.098,16.087,21.550,8.074,10.231,5.856,Fairway,airborne,-0.004,0
112,0.4666,11.876,16.121,21.463,8.018,10.227,5.894,Fairway,airborne,-0.004,0
113,0.4707,11.654,16.154,21.376,7.963,10.222,5.931,Fairway,airborne,-0.004,0
114,0.4749,11.433,16.187,21.289,7.907,10.218,5.969,Fairway,airborne,-0.004,0
115,0.4790,11.212,16.220,21.203,7.851,10.214,6.006,Fairway,airborne,-0.004,0
116,0.4832,10.991,16.252,21.117,7.796,10.209,6.043,Fairway,airborne,-0.004,0
117,0.4874,10.771,16.285,21.031,7.741,10.205,6.080,Fairway,airborne,-0.004,0
118,0.4915,10.551,16.317,20.945,7.686,10.200,6.116,Fairway,airborne,-0.005,0
119,0.4957,10.332,16.349,20.859,7.631,10.196,6.152,Fairway,airborne,-0.004,0
120,0.4999,10.113,16.380,20.773,7.576,10.192,6.188,Fairway,airborne,-0.004,0
121,0.5040,9.894,16.412,20.688,7.522,10.189,6.223,Fairway,airborne,-0.004,0
122,0.5082,9.676,16.443,20.602,7.467,10.185,6.258,Fairway,airborne,-0.004,0
123,0.5124,9.458,16.474,20.517,7.413,10.181,6.293,Fairway,airborne,-0.004,0
124,0.5165,9.241,16.505,20.432,7.359,10.177,6.328,Fairway,airborne,-0.004,0
125,0.5207,9.024,16.535,20.347,7.305,10.173,6.362,Fairway,airborne,-0.004,0
126,0.5249,8.807,16.566,20.262,7.251,10.169,6.397,Fairway,airborne,-0.004,0
127,0.5290,8.591,16.596,20.178,7.197,10.165,6.431,Fairway,airborne,-0.004,0
128,0.5332,8.375,16.625,20.093,7.144,10.160,6.465,Fairway,airborne,-0.004,0
129,0.5374,8.160,16.655,20.009,7.090,10.156,6.499,Fairway,airborne,-0.004,0
130,0.5415,7.944,16.685,19.925,7.037,10.152,6.533,Fairway,airborne,-0.004,0
131,0.5457,7.730,16.714,19.841,6.984,10.148,6.566,Fairway,airborne,-0.004,0
132,0.5499,7.515,16.743,19.757,6.931,10.144,6.599,Fairway,airborne,-0.004,0
133,0.5540,7.301,16.771,19.673,6.878,10.140,6.632,Fairway,airborne,-0.004,0
134,0.5582,7.088,16.800,19.590,6.826,10.136,6.664,Fairway,airborne,-0.004,0
135,0.5624,6.875,16.828,19.507,6.773,10.132,6.696,Fairway,airborne,-0.004,0
136,0.5665,6.662,16.856,19.423,6.721,10.128,6.729,Fairway,airborne,-0.004,0
137,0.5707,6.449,16.884,19.340,6.668,10.124,6.760,Fairway,airborne,-0.004,0
138,0.5749,6.237,16.912,19.257,6.616,10.121,6.791,Fairway,airborne,-0.003,0
139,0.5790,6.025,16.939,19.174,6.564,10.117,6.822,Fairway,airborne,-0.004,0
140,0.5832,5.814,16.967,19.092,6.512,10.113,6.853,Fairway,airborne,-0.004,0
141,0.5874,5.603,16.994,19.009,6.460,10.110,6.884,Fairway,airborne,-0.004,0
142,0.5915,5.392,17.020,18.927,6.409,10.105,6.915,Fairway,airborne,-0.004,0
143,0.5957,5.182,17.047,18.844,6.357,10.101,6.946,Fairway,airborne,-0.004,0
144,0.5999,4.972,17.073,18.762,6.306,10.097,6.976,Fairway,airborne,-0.004,0
145,0.6040,4.762,17.099,18.680,6.254,10.093,7.007,Fairway,airborne,-0.004,0
146,0.6082,4.553,17.125,18.598,6.203,10.089,7.037,Fairway,airborne,-0.004,0
147,0.6124,4.344,17.151,18.517,6.152,10.085,7.066,Fairway,airborne,-0.003,0
148,0.6165,4.135,17.177,18.435,6.101,10.082,7.095,Fairway,airborne,-0.003,0
149,0.6207,3.927,17.202,18.354,6.050,10.078,7.124,Fairway,airborne,-0.004,0
150,0.6248,3.719,17.227,18.272,6.000,10.074,7.153,Fairway,airborne,-0.004,0
151,0.6290,3.511,17.252,18.191,5.949,10.070,7.182,Fairway,airborne,-0.004,0
152,0.6332,3.304,17.277,18.110,5.899,10.066,7.211,Fairway,airborne,-0.004,0
153,0.6373,3.097,17.301,18.029,5.848,10.062,7.240,Fairway,airborne,-0.004,0
154,0.6415,2.891,17.325,17.948,5.798,10.058,7.267,Fairway,airborne,-0.003,0
155,0.6457,2.684,17.349,17.868,5.748,10.054,7.295,Fairway,airborne,-0.004,0
156,0.6498,2.479,17.373,17.787,5.698,10.050,7.323,Fairway,airborne,-0.004,0
157,0.6540,2.273,17.397,17.707,5.648,10.046,7.351,Fairway,airborne,-0.004,0
158,0.6582,2.068,17.420,17.626,5.598,10.042,7.378,Fairway,airborne,-0.004,0
159,0.6623,1.863,17.443,17.546,5.548,10.038,7.406,Fairway,airborne,-0.004,0
160,0.6665,1.658,17.466,17.466,5.499,10.034,7.433,Fairway,airborne,-0.004,0
161,0.6707,1.454,17.489,17.386,5.449,10.030,7.460,Fairway,airborne,-0.004,0
162,0.6748,1.250,17.512,17.306,5.400,10.026,7.486,Fairway,airborne,-0.004,0
163,0.6790,1.046,17.534,17.227,5.351,10.022,7.512,Fairway,airborne,-0.004,0
164,0.6832,0.843,17.556,17.147,5.302,10.018,7.538,Fairway,airborne,-0.004,0
165,0.6873,0.640,17.578,17.068,5.253,10.013,7.565,Fairway,airborne,-0.005,0
166,0.6915,0.437,17.600,16.988,5.204,10.009,7.591,Fairway,airborne,-0.004,0
167,0.6957,0.235,17.622,16.909,5.155,10.005,7.616,Fairway,airborne,-0.004,0
168,0.6998,0.033,17.643,16.830,5.106,10.001,7.642,Fairway,airborne,-0.004,0
169,0.7040,-0.169,17.664,16.751,5.057,9.998,7.667,Fairway,airborne,-0.004,0
170,0.7082,-0.370,17.685,16.673,5.009,9.993,7.692,Fairway,airborne,-0.004,0
171,0.7123,-0.572,17.706,16.594,4.960,9.989,7.717,Fairway,airborne,-0.004,0
172,0.7165,-0.772,17.727,16.515,4.912,9.985,7.741,Fairway,airborne,-0.004,0
173,0.7207,-0.973,17.747,16.437,4.864,9.981,7.766,Fairway,airborne,-0.004,0
174,0.7248,-1.173,17.767,16.359,4.816,9.977,7.790,Fairway,airborne,-0.004,0
175,0.7290,-1.373,17.787,16.280,4.768,9.972,7.815,Fairway,airborne,-0.005,0
176,0.7332,-1.573,17.807,16.202,4.720,9.968,7.838,Fairway,airborne,-0.004,0
177,0.7373,-1.772,17.826,16.124,4.672,9.964,7.862,Fairway,airborne,-0.004,0
178,0.7415,-1.971,17.846,16.046,4.624,9.960,7.886,Fairway,airborne,-0.005,0
179,0.7457,-2.170,17.865,15.969,4.576,9.956,7.909,Fairway,airborne,-0.004,0
180,0.7498,-2.368,17.884,15.891,4.529,9.951,7.933,Fairway,airborne,-0.005,0
181,0.7540,-2.566,17.902,15.814,4.481,9.946,7.956,Fairway,airborne,-0.005,0
182,0.7581,-2.764,17.921,15.736,4.434,9.942,7.979,Fairway,airborne,-0.004,0
183,0.7623,-2.962,17.939,15.659,4.386,9.938,8.001,Fairway,airborne,-0.004,0
184,0.7665,-3.159,17.958,15.582,4.339,9.934,8.024,Fairway,airborne,-0.004,0
185,0.7706,-3.356,17.976,15.505,4.292,9.929,8.047,Fairway,airborne,-0.005,0
186,0.7748,-3.553,17.993,15.428,4.245,9.924,8.070,Fairway,airborne,-0.005,0
187,0.7790,-3.749,18.011,15.351,4.198,9.919,8.092,Fairway,airborne,-0.004,0
188,0.7831,-3.945,18.028,15.274,4.151,9.915,8.113,Fairway,airborne,-0.004,0
189,0.7873,-4.141,18.045,15.198,4.104,9.910,8.135,Fairway,airborne,-0.005,0
190,0.7915,-4.337,18.062,15.121,4.058,9.906,8.157,Fairway,airborne,-0.004,0
191,0.7956,-4.532,18.079,15.045,4.011,9.902,8.177,Fairway,airborne,-0.004,0
192,0.7998,-4.727,18.096,14.968,3.964,9.897,8.199,Fairway,airborne,-0.005,0
193,0.8040,-4.922,18.112,14.892,3.918,9.892,8.220,Fairway,airborne,-0.005,0
194,0.8081,-5.116,18.128,14.816,3.872,9.887,8.241,Fairway,airborne,-0.005,0
195,0.8123,-5.310,18.145,14.740,3.825,9.883,8.262,Fairway,airborne,-0.004,0
196,0.8165,-5.504,18.160,14.664,3.779,9.878,8.283,Fairway,airborne,-0.005,0
197,0.8206,-5.698,18.176,14.589,3.733,9.873,8.303,Fairway,airborne,-0.005,0
198,0.8248,-5.891,18.191,14.513,3.687,9.867,8.324,Fairway,airborne,-0.005,0
199,0.8290,-6.084,18.207,14.437,3.641,9.863,8.344,Fairway,airborne,-0.005,0
200,0.8331,-6.277,18.222,14.362,3.595,9.858,8.364,Fairway,airborne,-0.004,0
201,0.8373,-6.470,18.237,14.287,3.549,9.854,8.383,Fairway,airborne,-0.004,0
202,0.8415,-6.662,18.251,14.212,3.503,9.848,8.403,Fairway,airborne,-0.005,0
203,0.8456,-6.854,18.266,14.136,3.458,9.843,8.422,Fairway,airborne,-0.005,0
204,0.8498,-7.046,18.280,14.061,3.412,9.838,8.442,Fairway,airborne,-0.006,0
205,0.8540,-7.237,18.294,13.987,3.367,9.833,8.461,Fairway,airborne,-0.005,0
206,0.8581,-7.429,18.308,13.912,3.321,9.829,8.479,Fairway,airborne,-0.004,0
207,0.8623,-7.620,18.322,13.837,3.276,9.823,8.499,Fairway,airborne,-0.006,0
208,0.8665,-7.810,18.335,13.762,3.231,9.818,8.517,Fairway,airborne,-0.005,0
209,0.8706,-8.001,18.349,13.688,3.185,9.813,8.536,Fairway,airborne,-0.006,0
210,0.8748,-8.191,18.362,13.614,3.140,9.807,8.555,Fairway,airborne,-0.006,0
211,0.8790,-8.381,18.375,13.539,3.095,9.802,8.573,Fairway,airborne,-0.005,0
212,0.8831,-8.570,18.388,13.465,3.050,9.797,8.591,Fairway,airborne,-0.005,0
213,0.8873,-8.760,18.400,13.391,3.005,9.792,8.608,Fairway,airborne,-0.005,0
214,0.8914,-8.949,18.413,13.317,2.960,9.786,8.627,Fairway,airborne,-0.006,0
215,0.8956,-9.138,18.425,13.243,2.916,9.780,8.645,Fairway,airborne,-0.006,0
216,0.8998,-9.327,18.437,13.169,2.871,9.775,8.662,Fairway,airborne,-0.006,0
217,0.9039,-9.515,18.449,13.096,2.826,9.770,8.679,Fairway,airborne,-0.005,0
218,0.9081,-9.703,18.461,13.022,2.782,9.764,8.696,Fairway,airborne,-0.006,0
219,0.9123,-9.891,18.472,12.948,2.737,9.758,8.714,Fairway,airborne,-0.006,0
220,0.9164,-10.079,18.483,12.875,2.693,9.752,8.731,Fairway,airborne,-0.006,0
221,0.9206,-10.266,18.494,12.802,2.648,9.748,8.747,Fairway,airborne,-0.005,0
222,0.9248,-10.453,18.505,12.729,2.604,9.742,8.763,Fairway,airborne,-0.005,0
223,0.9289,-10.640,18.516,12.655,2.560,9.736,8.780,Fairway,airborne,-0.006,0
224,0.9331,-10.827,18.527,12.582,2.516,9.731,8.796,Fairway,airborne,-0.006,0
225,0.9373,-11.013,18.537,12.509,2.472,9.725,8.812,Fairway,airborne,-0.006,0
226,0.9414,-11.199,18.547,12.437,2.428,9.719,8.828,Fairway,airborne,-0.006,0
227,0.9456,-11.385,18.557,12.364,2.384,9.713,8.844,Fairway,airborne,-0.006,0
228,0.9498,-11.571,18.567,12.291,2.340,9.707,8.860,Fairway,airborne,-0.006,0
229,0.9539,-11.757,18.577,12.219,2.296,9.702,8.875,Fairway,airborne,-0.006,0
230,0.9581,-11.942,18.586,12.146,2.252,9.696,8.890,Fairway,airborne,-0.006,0
231,0.9623,-12.127,18.595,12.074,2.208,9.691,8.905,Fairway,airborne,-0.005,0
232,0.9664,-12.312,18.605,12.002,2.165,9.685,8.920,Fairway,airborne,-0.006,0
233,0.9706,-12.496,18.613,11.929,2.121,9.679,8.935,Fairway,airborne,-0.006,0
234,0.9748,-12.680,18.622,11.857,2.078,9.673,8.949,Fairway,airborne,-0.006,0
235,0.9789,-12.864,18.631,11.785,2.034,9.667,8.964,Fairway,airborne,-0.006,0
236,0.9831,-13.048,18.639,11.714,1.991,9.661,8.978,Fairway,airborne,-0.005,0
237,0.9873,-13.232,18.647,11.642,1.948,9.656,8.992,Fairway,airborne,-0.006,0
238,0.9914,-13.415,18.655,11.570,1.904,9.649,9.006,Fairway,airborne,-0.007,0
239,0.9956,-13.598,18.663,11.498,1.861,9.643,9.021,Fairway,airborne,-0.006,0
240,0.9998,-13.781,18.671,11.427,1.818,9.637,9.034,Fairway,airborne,-0.006,0
241,1.0039,-13.964,18.678,11.355,1.775,9.631,9.047,Fairway,airborne,-0.006,0
242,1.0081,-14.146,18.686,11.284,1.732,9.625,9.060,Fairway,airborne,-0.006,0
243,1.0123,-14.328,18.693,11.213,1.689,9.619,9.074,Fairway,airborne,-0.007,0
244,1.0164,-14.510,18.700,11.142,1.646,9.612,9.088,Fairway,airborne,-0.007,0
245,1.0206,-14.692,18.706,11.070,1.603,9.606,9.101,Fairway,airborne,-0.006,0
246,1.0248,-14.874,18.713,10.999,1.560,9.600,9.113,Fairway,airborne,-0.006,0
247,1.0289,-15.055,18.719,10.929,1.518,9.594,9.126,Fairway,airborne,-0.006,0
248,1.0331,-15.236,18.726,10.858,1.475,9.588,9.137,Fairway,airborne,-0.005,0
249,1.0372,-15.417,18.732,10.787,1.432,9.582,9.150,Fairway,airborne,-0.007,0
250,1.0414,-15.598,18.738,10.716,1.390,9.576,9.162,Fairway,airborne,-0.006,0
