frame,phase,surface,ballX,ballY,ballZ,groundY2arg,groundY3arg
281,roll,Fairway,-405.5942,0.0213,-72.0000,0.0000,0.0000
282,roll,Fairway,-405.5955,0.0213,-72.0000,0.0000,0.0000
283,roll,Fairway,-405.5968,0.0213,-72.0000,0.0000,0.0000
284,roll,Fairway,-405.5981,0.0213,-72.0000,0.0000,0.0000
285,roll,Fairway,-405.5995,0.0213,-72.0000,0.0000,0.0000
286,roll,Fairway,-405.6008,0.0213,-72.0000,0.0000,0.0000
287,roll,Fairway,-405.6021,0.0213,-72.0000,0.0000,0.0000
288,roll,Fairway,-405.6035,0.0213,-72.0000,0.0000,0.0000
289,roll,Fairway,-405.6048,0.0213,-72.0000,0.0000,0.0000
290,roll,Fairway,-405.6061,0.0213,-72.0000,0.0000,0.0000
291,roll,Fairway,-405.6074,0.0213,-72.0000,0.0000,0.0000
292,roll,Fairway,-405.6088,0.0213,-72.0000,0.0000,0.0000
293,roll,Fairway,-405.6101,0.0213,-72.0000,0.0000,0.0000
294,roll,Fairway,-405.6114,0.0213,-72.0000,0.0000,0.0000
295,roll,Fairway,-405.6127,0.0213,-72.0000,0.0000,0.0000
296,roll,Fairway,-405.6141,0.0213,-72.0000,0.0000,0.0000
297,roll,Fairway,-405.6154,0.0213,-72.0000,0.0000,0.0000
298,roll,Fairway,-405.6167,0.0213,-72.0000,0.0000,0.0000
299,roll,Fairway,-405.6180,0.0213,-72.0000,0.0000,0.0000
300,roll,Fairway,-405.6193,0.0213,-72.0000,0.0000,0.0000
301,roll,Fairway,-405.6206,0.0213,-72.0000,0.0000,0.0000
302,roll,Fairway,-405.6219,0.0213,-72.0000,0.0000,0.0000
303,roll,Fairway,-405.6232,0.0213,-72.0000,0.0000,0.0000
304,roll,Fairway,-405.6246,0.0213,-72.0000,0.0000,0.0000
305,roll,Fairway,-405.6259,0.0213,-72.0000,0.0000,0.0000
306,roll,Fairway,-405.6272,0.0213,-72.0000,0.0000,0.0000
307,roll,Fairway,-405.6285,0.0213,-72.0000,0.0000,0.0000
308,roll,Fairway,-405.6298,0.0213,-72.0000,0.0000,0.0000
309,roll,Fairway,-405.6311,0.0213,-72.0000,0.0000,0.0000
310,roll,Fairway,-405.6324,0.0213,-72.0000,0.0000,0.0000
311,roll,Fairway,-405.6337,0.0213,-72.0000,0.0000,0.0000
312,roll,Fairway,-405.6350,0.0213,-72.0000,0.0000,0.0000
313,roll,Fairway,-405.6364,0.0213,-72.0000,0.0000,0.0000
314,roll,Fairway,-405.6376,0.0213,-72.0000,0.0000,0.0000
315,roll,Fairway,-405.6389,0.0213,-72.0000,0.0000,0.0000
316,roll,Fairway,-405.6402,0.0213,-72.0000,0.0000,0.0000
317,roll,Fairway,-405.6415,0.0213,-72.0000,0.0000,0.0000
318,roll,Fairway,-405.6428,0.0213,-72.0000,0.0000,0.0000
319,roll,Fairway,-405.6441,0.0213,-72.0000,0.0000,0.0000
